,mRNA,logFC,FDR,Delta,Age 18-40,Age >=40,start,end,diff_exp,Highlight
ENSG00000198763,ENSG00000198763,0.416252336,0.821102663,48227.59923,115861.45,131229.75,4470,5511,No,Not in ML
ENSG00000210082,ENSG00000210082,0.246151969,0.949012128,48023.43694,195096.7,206364.65,1671,3229,No,Not in ML
ENSG00000075624,ENSG00000075624,0.14380618,0.987123084,45154.36398,313994.6,351703.85,5526409,5563902,No,Not in ML
ENSG00000198727,ENSG00000198727,0.26921246,0.936131843,44045.40636,163608.35,166589.3,14747,15887,No,Not in ML
ENSG00000234745,ENSG00000234745,1.076779111,0.16254475,43981.79655,40845.7,88610.45,31353872,31357188,No,Not in ML
ENSG00000164733,ENSG00000164733,0.851725284,0.343051088,43506.80888,51080.8,87291.4,11842524,11869533,No,Not in ML
ENSG00000175899,ENSG00000175899,0.642229948,0.571851625,43264.39848,67365.9,96476.55,9067664,9116229,No,Not in ML
ENSG00000198938,ENSG00000198938,0.227859704,0.958127161,43161.29914,189420.5,194071.45,9207,9990,No,Not in ML
ENSG00000077942,ENSG00000077942,0.973086898,0.237562205,39708.27049,40806.5,77143.4,45502238,45601135,No,Not in ML
ENSG00000115461,ENSG00000115461,0.575160162,0.65201068,36817.55493,64012.7,95983.7,216672105,216695549,No,Not in ML
ENSG00000211592,ENSG00000211592,2.744053914,5.17560377552039e-06,35915.54966,13088.5,74382.65,88857161,88857683,UP,Not in ML
ENSG00000067225,ENSG00000067225,0.679609583,0.528410092,35510.48419,52251.3,76935.85,72199029,72231822,No,Not in ML
ENSG00000074800,ENSG00000074800,0.637349055,0.577613481,35202.63664,55232.9,77350.35,8861000,8879190,No,Not in ML
ENSG00000204525,ENSG00000204525,1.045984994,0.183007614,30033.78552,28713.4,59338.95,31268749,31272130,No,Not in ML
ENSG00000148180,ENSG00000148180,0.538717511,0.693507849,29744.61396,55213.75,88569,121207794,121332843,No,Not in ML
ENSG00000198899,ENSG00000198899,0.327962222,0.898796803,27989.13235,85342.55,92774.15,8527,9207,No,Not in ML
ENSG00000204287,ENSG00000204287,1.562023292,0.018116752,27256.68163,17449.6,52523.8,32439878,32445046,No,Not in ML
ENSG00000206503,ENSG00000206503,0.862053876,0.333955395,26279.92792,30485.25,54236.8,29941260,29945884,No,Not in ML
ENSG00000182492,ENSG00000182492,0.415416961,0.822433378,25440.46702,61240.8,80573.7,153494980,153509546,No,Not in ML
ENSG00000166147,ENSG00000166147,0.9843328,0.228031813,24909.0829,25305.55,54412.8,48408313,48645721,No,Not in ML
ENSG00000100234,ENSG00000100234,0.920497064,0.280969179,24007.71404,26081.25,48509.85,32801705,32863041,No,Not in ML
ENSG00000182718,ENSG00000182718,0.925251474,0.276295506,22635.72216,24464.4,45056.25,60347134,60402883,No,Not in ML
ENSG00000139329,ENSG00000139329,1.171439298,0.111879082,22254.41807,18997.5,41017.25,91102629,91111494,No,Not in ML
ENSG00000133392,ENSG00000133392,0.157650864,0.983291566,21976.06537,139397.05,145379.95,15703135,15857028,No,Not in ML
ENSG00000100097,ENSG00000100097,0.512572017,0.722044502,21419.10317,41787.5,57135.4,37675636,37679802,No,Not in ML
ENSG00000091986,ENSG00000091986,0.821763247,0.373325207,21119.27436,25699.95,47425.05,112596797,112649530,No,Not in ML
ENSG00000026025,ENSG00000026025,0.349506344,0.882319348,20594.13708,58923.5,68301.85,17228241,17237593,No,Not in ML
ENSG00000147065,ENSG00000147065,0.649054833,0.565109189,19308.69976,29748.95,47093.35,65588377,65741931,No,Not in ML
ENSG00000135506,ENSG00000135506,0.653705307,0.560435094,19231.45449,29419.15,45319.2,57693955,57721557,No,Not in ML
ENSG00000102265,ENSG00000102265,0.937563216,0.266841964,19201.95095,20480.7,39939,47582408,47586789,No,Not in ML
ENSG00000124942,ENSG00000124942,0.382695088,0.853006034,18538.99385,48443.25,59077.95,62433542,62556235,No,Not in ML
ENSG00000196126,ENSG00000196126,1.527128638,0.021773845,18352.65019,12017.75,35128.75,32578769,32589848,No,Not in ML
ENSG00000166482,ENSG00000166482,0.769969687,0.427804757,17965.24072,23332.4,48966.95,19383442,19387190,No,Not in ML
ENSG00000163430,ENSG00000163430,0.231452497,0.956331553,17572.52166,75922.8,89036.05,120392293,120450993,No,Not in ML
ENSG00000164111,ENSG00000164111,0.920712628,0.280864524,17540.95663,19051.5,36070.75,121667946,121696995,No,Not in ML
ENSG00000166598,ENSG00000166598,0.461889062,0.777651274,17238.06931,37320.8,49004.75,103930107,103953645,No,Not in ML
ENSG00000108679,ENSG00000108679,0.781219975,0.415723058,16735.9974,21422.9,32114.9,78971238,78979947,No,Not in ML
ENSG00000120885,ENSG00000120885,0.317984236,0.906344528,16653.66119,52372.6,72846.3,27596917,27614700,No,Not in ML
ENSG00000158710,ENSG00000158710,0.630870575,0.586160138,16471.74683,26109.55,40039.25,159918107,159925507,No,Not in ML
ENSG00000034510,ENSG00000034510,0.346600984,0.885521657,16088.6631,46418.4,61229.45,84905656,84906671,No,Not in ML
ENSG00000184009,ENSG00000184009,0.097747203,0.996055889,15946.6937,163142.2,155550.45,81509971,81523847,No,Not in ML
ENSG00000169504,ENSG00000169504,0.711869341,0.492015898,15631.72529,21958.7,32539.45,24745382,24844321,No,Not in ML
ENSG00000100979,ENSG00000100979,1.70938146,0.008006264,15462.29546,9045.55,30901.7,45898621,45912155,No,In ML
ENSG00000157227,ENSG00000157227,0.201069554,0.968994951,15384.09294,76511.3,82088.7,22836560,22849027,No,Not in ML
ENSG00000135046,ENSG00000135046,1.36809325,0.047443689,15315.18829,11194.55,27461.45,73151865,73170393,No,Not in ML
ENSG00000129009,ENSG00000129009,0.865395661,0.330825262,14922.62316,17243.7,29980.6,74173710,74176872,No,Not in ML
ENSG00000135821,ENSG00000135821,0.74201411,0.458695432,14774.02035,19910.7,32610.45,182378098,182392206,No,Not in ML
ENSG00000149257,ENSG00000149257,0.393886052,0.843561623,14546.97999,36931.95,50089.3,75562056,75572783,No,Not in ML
ENSG00000162745,ENSG00000162745,1.473154446,0.028667128,14401.8525,9776.2,25584.1,161983192,162023854,No,Not in ML
ENSG00000101439,ENSG00000101439,0.84634985,0.34838545,14276.65245,16868.5,30230.65,23626706,23638473,No,Not in ML
ENSG00000175215,ENSG00000175215,0.731334211,0.470421275,14110.7645,19294.55,30399.75,57819927,57846729,No,Not in ML
ENSG00000204592,ENSG00000204592,0.468734815,0.769542612,13713.9854,29257.45,39533.2,30489509,30494194,No,Not in ML
ENSG00000083444,ENSG00000083444,0.825533789,0.369734193,13298.8953,16109.45,27693.25,11934205,11975538,No,Not in ML
ENSG00000198786,ENSG00000198786,0.137593213,0.988910334,12819.86232,93172.2,81081,12337,14148,No,Not in ML
ENSG00000173372,ENSG00000173372,1.437510113,0.034075122,12718.87386,8847.85,28762.95,22636628,22639678,No,Not in ML
ENSG00000135404,ENSG00000135404,0.29695638,0.918831853,12645.72412,42584.45,48048.55,55725323,55729707,No,Not in ML
ENSG00000084234,ENSG00000084234,0.477016147,0.761866456,12590.62653,26394.55,33157.2,130068147,130144811,No,Not in ML
ENSG00000185624,ENSG00000185624,0.511558944,0.723057364,12338.67385,24119.75,33598.95,81843161,81860624,No,Not in ML
ENSG00000197747,ENSG00000197747,1.387043276,0.043447788,12190.02983,8788.5,23720.15,151982915,151993859,No,Not in ML
ENSG00000111640,ENSG00000111640,0.173575965,0.979027125,12133.29843,69901.95,73004.15,6534512,6538374,No,Not in ML
ENSG00000173369,ENSG00000173369,1.607847323,0.014158337,12118.1041,7536.85,27550.75,22652762,22661637,No,In ML
ENSG00000152661,ENSG00000152661,0.949774364,0.256398424,12012.36625,12647.6,23044.4,121435595,121449727,No,Not in ML
ENSG00000112096,ENSG00000112096,0.64439244,0.570088625,11838.00463,18370.8,25387.85,159669069,159762529,No,Not in ML
ENSG00000134333,ENSG00000134333,0.485562209,0.752922468,11669.54084,24033.05,31790.3,18394560,18408425,No,Not in ML
ENSG00000197956,ENSG00000197956,0.330588925,0.896625872,11633.7218,35190.9,42523.55,153534599,153536244,No,Not in ML
ENSG00000174807,ENSG00000174807,0.817902048,0.377172069,11623.45137,14211.3,28375.55,66314494,66317044,No,Not in ML
ENSG00000118523,ENSG00000118523,0.737733323,0.463499461,11569.76104,15682.85,24959.25,131948176,131951372,No,Not in ML
ENSG00000065978,ENSG00000065978,0.430604539,0.807663982,11535.65876,26789.45,34537.6,42682418,42703805,No,Not in ML
ENSG00000101825,ENSG00000101825,0.629146111,0.588624724,11428.84804,18165.65,30717.7,3308565,3346652,No,Not in ML
ENSG00000277443,ENSG00000277443,0.53149762,0.701566552,11167.98744,21012.3,29916.2,113857345,113863475,No,Not in ML
ENSG00000159189,ENSG00000159189,1.615232405,0.013588599,11152.69519,6904.7,24681.9,22643633,22648110,No,In ML
ENSG00000038427,ENSG00000038427,0.525950204,0.707503856,11142.14987,21184.8,29355.25,83471618,83582303,No,Not in ML
ENSG00000030582,ENSG00000030582,0.530624421,0.702305211,10913.35247,20567,29402.1,44345246,44353106,No,Not in ML
ENSG00000231389,ENSG00000231389,1.307008409,0.062616572,10912.93206,8349.55,21192.3,33064569,33080775,No,Not in ML
ENSG00000128595,ENSG00000128595,0.611203167,0.608705922,10848.06165,17748.7,26914.25,128739292,128773400,No,Not in ML
ENSG00000071127,ENSG00000071127,0.44403115,0.796242093,10835.53674,24402.65,33132.4,10074339,10116949,No,Not in ML
ENSG00000113657,ENSG00000113657,0.50733498,0.727930931,10782.64399,21253.5,31668.9,147390808,147510068,No,Not in ML
ENSG00000105974,ENSG00000105974,0.992814426,0.221136692,10702.34095,10779.8,20088.9,116524994,116561179,No,Not in ML
ENSG00000002586,ENSG00000002586,0.44829374,0.791453353,10677.37064,23817.8,33093.85,2691187,2741309,No,Not in ML
ENSG00000187955,ENSG00000187955,0.409528397,0.828178918,10667.0476,26047.15,34033.45,120059780,120373573,No,Not in ML
ENSG00000049540,ENSG00000049540,0.886440565,0.311148503,10486.4146,11829.8,21697.35,74027789,74069907,No,Not in ML
ENSG00000159403,ENSG00000159403,0.495717944,0.741972827,10472.61165,21126.15,31254.2,7080214,7092540,No,Not in ML
ENSG00000113140,ENSG00000113140,0.041096812,1,10148.04607,246930.25,262726.1,151661096,151686975,No,Not in ML
ENSG00000142798,ENSG00000142798,0.49518292,0.742683835,9906.901855,20006.55,27960.6,21822244,21937310,No,Not in ML
ENSG00000079308,ENSG00000079308,0.428938235,0.809275323,9846.44875,22955.4,28644.05,217799588,218033982,No,Not in ML
ENSG00000137801,ENSG00000137801,0.681571938,0.526132216,9743.411639,14295.5,21021.95,39581079,39599466,No,Not in ML
ENSG00000129538,ENSG00000129538,0.793350933,0.403620876,9400.970551,11849.7,26096.4,20801228,20802855,No,In ML
ENSG00000166033,ENSG00000166033,0.288132072,0.925223159,9353.559421,32462.75,38255.7,122458551,122514907,No,Not in ML
ENSG00000102144,ENSG00000102144,0.511701531,0.723043158,9335.354815,18243.75,22440.75,77910739,78129295,No,Not in ML
ENSG00000100985,ENSG00000100985,2.158820846,0.000450344,9327.401346,4320.6,18365.4,46008908,46016561,UP,Not in ML
ENSG00000204103,ENSG00000204103,0.735131637,0.465997936,9323.748067,12683.1,20632.35,40685848,40689236,No,Not in ML
ENSG00000163191,ENSG00000163191,0.852015461,0.342926412,9184.513662,10779.75,20243.35,152032506,152047907,No,Not in ML
ENSG00000115677,ENSG00000115677,0.290887955,0.923317218,9155.742016,31475.15,36428,241227264,241317061,No,Not in ML
ENSG00000118705,ENSG00000118705,0.607039948,0.613378434,9152.462703,15077.2,22404.4,37178410,37241619,No,Not in ML
ENSG00000196154,ENSG00000196154,2.094371618,0.000704331,9110.202381,4349.85,16151.95,153543613,153550136,UP,Not in ML
ENSG00000127022,ENSG00000127022,0.323348211,0.902487066,9019.135472,27892.95,32542.8,179678628,179731641,No,Not in ML
ENSG00000162704,ENSG00000162704,0.807887886,0.38845592,9011.585424,11154.5,19240,183620846,183635783,No,Not in ML
ENSG00000182326,ENSG00000182326,0.341943406,0.888388837,8977.860895,26255.4,34587.95,6988259,7071032,No,Not in ML
ENSG00000179222,ENSG00000179222,0.471362074,0.766823599,8914.046017,18911.25,25472.3,51803007,51902354,No,Not in ML
ENSG00000197614,ENSG00000197614,1.651607457,0.011133344,8899.026139,5388.1,20154.35,8637346,8662888,No,Not in ML
ENSG00000223865,ENSG00000223865,1.317374417,0.059731211,8796.24072,6677.1,16816.5,33075990,33089696,No,Not in ML
ENSG00000026508,ENSG00000026508,0.601486392,0.620261893,8612.653566,14318.95,22321.9,35138882,35232402,No,Not in ML
ENSG00000198695,ENSG00000198695,0.254511322,0.94393017,8562.079024,33641.25,33035.65,14149,14673,No,Not in ML
ENSG00000265972,ENSG00000265972,0.286855261,0.925344312,8518.482524,29696.1,33553.7,145992435,145996579,No,Not in ML
ENSG00000101160,ENSG00000101160,0.906597285,0.292698603,8508.642167,9385.25,18084.15,58995185,59007254,No,Not in ML
ENSG00000125844,ENSG00000125844,0.391351706,0.845680129,8445.095859,21579.3,27180.75,17613678,17682295,No,Not in ML
ENSG00000125148,ENSG00000125148,1.488162892,0.02666578,8444.580329,5674.5,14740.9,56608584,56609497,No,In ML
ENSG00000151914,ENSG00000151914,0.511613682,0.723057364,8412.259128,16442.6,21693.9,56457987,56954649,No,Not in ML
ENSG00000118495,ENSG00000118495,1.019638031,0.200877352,8352.517876,8191.65,15342.25,143940300,144064599,No,Not in ML
ENSG00000100600,ENSG00000100600,1.130589236,0.132167529,8344.2008,7380.4,17026.1,92703807,92748679,No,In ML
ENSG00000035862,ENSG00000035862,0.120335838,0.991909015,8268.287459,68710.1,72423.45,78852977,78925387,No,Not in ML
ENSG00000160789,ENSG00000160789,0.239024564,0.952320652,8211.820366,34355.55,37910.55,156082573,156140089,No,Not in ML
ENSG00000113721,ENSG00000113721,0.438777643,0.799646738,8211.723586,18715,24163.2,150113839,150155872,No,Not in ML
ENSG00000196230,ENSG00000196230,0.175712496,0.978798428,8154.896022,46410.45,51853.35,30720352,30725426,No,Not in ML
ENSG00000110799,ENSG00000110799,0.594199093,0.629479965,8021.509494,13499.7,21537.3,5948877,6124770,No,Not in ML
ENSG00000185585,ENSG00000185585,1.382686616,0.044308228,7827.112394,5660.8,14323.7,124777133,124814885,No,Not in ML
ENSG00000146674,ENSG00000146674,0.482152714,0.756801826,7736.74298,16046.25,20820.3,45912245,45921874,No,Not in ML
ENSG00000162576,ENSG00000162576,0.475732061,0.762390442,7699.43796,16184.4,18561.5,1352689,1361777,No,Not in ML
ENSG00000179218,ENSG00000179218,0.186907679,0.975020047,7685.821313,41120.95,44758.45,12938578,12944489,No,Not in ML
ENSG00000186340,ENSG00000186340,0.908507578,0.291238149,7674.617763,8447.5,15696.85,169215780,169254050,No,Not in ML
ENSG00000131236,ENSG00000131236,0.507545362,0.727904578,7640.993914,15054.8,21297.55,40040233,40072649,No,Not in ML
ENSG00000136235,ENSG00000136235,0.212323346,0.964590762,7577.50173,35688.5,31961.75,23235967,23275108,No,Not in ML
ENSG00000153071,ENSG00000153071,1.296090174,0.065757077,7577.202378,5846.2,14725.8,39371675,39462300,No,Not in ML
ENSG00000010327,ENSG00000010327,1.36789708,0.04750036,7568.027384,5532.6,16130.75,52495338,52524495,No,In ML
ENSG00000134294,ENSG00000134294,0.652218993,0.562087193,7432.785474,11396.15,15530.35,46358188,46372773,No,Not in ML
ENSG00000130635,ENSG00000130635,0.086436598,0.997720749,7425.34027,85905.05,94577,134641803,134844843,No,Not in ML
ENSG00000167601,ENSG00000167601,1.070594995,0.166540609,7373.77656,6887.55,14346.65,41219223,41261766,No,Not in ML
ENSG00000136240,ENSG00000136240,0.451301041,0.788388212,7331.092065,16244.35,22030.15,6445953,6484190,No,Not in ML
ENSG00000211459,ENSG00000211459,0.345597789,0.886097821,7330.180938,21210.15,26162,648,1601,No,Not in ML
ENSG00000172757,ENSG00000172757,0.229014392,0.957458275,7314.353244,31938.4,37135.1,65823022,65862026,No,Not in ML
ENSG00000077549,ENSG00000077549,0.467061927,0.771826315,7303.307231,15636.7,21185.55,19338775,19485539,No,Not in ML
ENSG00000211445,ENSG00000211445,0.736336501,0.464541167,7303.022231,9918.05,12571.35,151020438,151028992,No,Not in ML
ENSG00000198502,ENSG00000198502,1.723524603,0.007390519,7286.458787,4227.65,13454.8,32517353,32530287,No,Not in ML
ENSG00000169439,ENSG00000169439,0.526065363,0.707368857,7253.862681,13788.9,18344.25,96493813,96611790,No,Not in ML
ENSG00000044574,ENSG00000044574,0.223731624,0.959259115,7232.740019,32327.75,36784.25,125234853,125241343,No,Not in ML
ENSG00000206538,ENSG00000206538,1.370059437,0.04707535,7206.649643,5260.1,11642.35,86876388,86991149,No,Not in ML
ENSG00000104904,ENSG00000104904,0.428837104,0.809318417,7076.541236,16501.7,21425.45,2269509,2273490,No,Not in ML
ENSG00000128591,ENSG00000128591,0.43177275,0.806546782,7072.826234,16380.9,20745.3,128830406,128859274,No,Not in ML
ENSG00000108518,ENSG00000108518,0.378558525,0.857604216,6948.631007,18355.5,24657.85,4945652,4949061,No,Not in ML
ENSG00000167460,ENSG00000167460,0.133885292,0.989883556,6935.98781,51805.45,58038,16067021,16103002,No,Not in ML
ENSG00000112769,ENSG00000112769,0.642877609,0.571333724,6895.119509,10725.4,17243.05,112107931,112254939,No,Not in ML
ENSG00000170458,ENSG00000170458,1.358116073,0.049761418,6892.982315,5075.4,15256.9,140631728,140633701,No,In ML
ENSG00000131016,ENSG00000131016,0.893316946,0.304921202,6827.39809,7642.75,15277.8,151239967,151358559,No,Not in ML
ENSG00000115415,ENSG00000115415,0.893842122,0.304447619,6752.485616,7554.45,14023.05,190908460,191020960,No,Not in ML
ENSG00000135679,ENSG00000135679,1.286819641,0.068538643,6747.117084,5243.25,13399.75,68808177,68850686,No,Not in ML
ENSG00000196419,ENSG00000196419,0.443092932,0.796726898,6688.842289,15095.8,19526.15,41621163,41664048,No,Not in ML
ENSG00000135862,ENSG00000135862,0.255672596,0.94393017,6577.535477,25726.4,30046.7,183023420,183145592,No,Not in ML
ENSG00000124491,ENSG00000124491,1.71945626,0.007554107,6456.386309,3754.9,14886.05,6144084,6321013,No,In ML
ENSG00000160932,ENSG00000160932,0.750830624,0.450430187,6427.485554,8560.5,13932.9,143017982,143023832,No,Not in ML
ENSG00000124212,ENSG00000124212,1.578063463,0.016621901,6384.52916,4045.8,13554.25,49503874,49568137,No,Not in ML
ENSG00000184640,ENSG00000184640,0.312865843,0.909193639,6368.462451,20355.25,25383.8,77280569,77500596,No,Not in ML
ENSG00000142669,ENSG00000142669,1.345830717,0.052617655,6364.9045,4729.35,12282.4,26280086,26281522,No,Not in ML
ENSG00000142552,ENSG00000142552,0.998654864,0.21665534,6344.104819,6352.65,13074.1,49528003,49546962,No,Not in ML
ENSG00000114353,ENSG00000114353,0.299857959,0.91673529,6340.88636,21146.3,25220.9,50226292,50259362,No,In ML
ENSG00000106333,ENSG00000106333,0.343492825,0.887543418,6339.795539,18456.85,21610.7,100602363,100608175,No,Not in ML
ENSG00000116132,ENSG00000116132,0.436396484,0.802154463,6210.663841,14231.7,18618.15,170662728,170739421,No,Not in ML
ENSG00000150991,ENSG00000150991,0.185908789,0.97520148,6198.171149,33339.85,36675.5,124911604,124917368,No,Not in ML
ENSG00000148175,ENSG00000148175,0.546184383,0.68555172,6169.453004,11295.55,15132.85,121338987,121370304,No,Not in ML
ENSG00000125730,ENSG00000125730,0.748909188,0.45241715,6138.995843,8197.25,16149.15,6677704,6730562,No,Not in ML
ENSG00000170801,ENSG00000170801,1.248274823,0.081043455,6114.36215,4898.25,14713.75,8269754,8307098,No,Not in ML
ENSG00000163520,ENSG00000163520,0.744356777,0.457302836,6097.510192,8191.65,14503.65,13549125,13638422,No,Not in ML
ENSG00000011028,ENSG00000011028,0.273790974,0.933514818,6096.914302,22268.5,27237.3,62627670,62693597,No,Not in ML
ENSG00000005893,ENSG00000005893,0.556943351,0.674078319,6079.621464,10916.05,14493.95,120426148,120469365,No,Not in ML
ENSG00000140105,ENSG00000140105,1.163880506,0.115667323,6078.831497,5222.9,11973.2,100333790,100376805,No,Not in ML
ENSG00000166913,ENSG00000166913,0.459058203,0.780573809,6054.335015,13188.6,17042.75,44885702,44908532,No,Not in ML
ENSG00000127603,ENSG00000127603,0.370496157,0.864358244,6049.942899,16329.3,21133.7,39081316,39487177,No,Not in ML
ENSG00000084636,ENSG00000084636,0.344089765,0.887267006,6008.839561,17463,21467.3,31652263,31704319,No,Not in ML
ENSG00000131711,ENSG00000131711,0.430099391,0.808526032,5992.058693,13931.8,17384.6,72107234,72209565,No,Not in ML
ENSG00000135047,ENSG00000135047,0.720377013,0.482202655,5928.37865,8229.55,13438.2,87724051,87731469,No,Not in ML
ENSG00000118785,ENSG00000118785,1.722373564,0.007438467,5813.269135,3375.15,9819.55,87975650,87983426,No,Not in ML
ENSG00000134250,ENSG00000134250,0.474793861,0.763841588,5770.217269,12153.1,15175.45,119911553,120100779,No,Not in ML
ENSG00000010810,ENSG00000010810,1.260819002,0.076614644,5740.193713,4552.75,11158.95,111660332,111873452,No,Not in ML
ENSG00000112977,ENSG00000112977,0.659389431,0.552455953,5718.291083,8672.1,13547.65,10679230,10761234,No,Not in ML
ENSG00000121769,ENSG00000121769,1.224005922,0.089969376,5710.35483,4665.3,9548.75,31365253,31376850,No,Not in ML
ENSG00000106366,ENSG00000106366,1.126880375,0.134144719,5680.434941,5040.85,9882.8,101127104,101139247,No,Not in ML
ENSG00000119681,ENSG00000119681,0.609526803,0.610722841,5590.305553,9171.55,14436.3,74498183,74612378,No,Not in ML
ENSG00000100342,ENSG00000100342,1.478929459,0.027889349,5476.623679,3703.1,11255.2,36253071,36267530,No,Not in ML
ENSG00000198830,ENSG00000198830,0.482152788,0.756801826,5475.399386,11356.15,15452.05,26472440,26476642,No,Not in ML
ENSG00000168477,ENSG00000168477,2.413684295,7.10391025476971e-05,5474.235981,2268,15458.3,32041153,32115334,UP,Not in ML
ENSG00000077274,ENSG00000077274,1.60178785,0.014634619,5361.744559,3347.35,7699.5,111245099,111270483,No,Not in ML
ENSG00000117984,ENSG00000117984,0.407519501,0.830706715,5301.156305,13008.35,15832.7,1752752,1764573,No,Not in ML
ENSG00000130985,ENSG00000130985,0.237660492,0.953087866,5292.853635,22270.65,25813.3,47190861,47215128,No,Not in ML
ENSG00000078369,ENSG00000078369,0.242217472,0.950870994,5275.326987,21779.3,24158.3,1785285,1891117,No,Not in ML
ENSG00000182578,ENSG00000182578,1.497184526,0.025434624,5267.918612,3518.55,11475.2,150053291,150113372,No,In ML
ENSG00000167004,ENSG00000167004,0.231012559,0.956550326,5236.107568,22665.9,26157.4,43746410,43773278,No,Not in ML
ENSG00000198668,ENSG00000198668,0.241272586,0.951592263,5223.370542,21649.25,23366.85,90396502,90408268,No,Not in ML
ENSG00000138760,ENSG00000138760,0.376217007,0.860037594,5173.4165,13751.15,17356.7,76158737,76234536,No,Not in ML
ENSG00000141367,ENSG00000141367,0.250045589,0.946813666,5143.725319,20571.15,22330.75,59619689,59696956,No,Not in ML
ENSG00000126709,ENSG00000126709,0.756178194,0.444056794,5107.756845,6754.7,12404.65,27666064,27672198,No,Not in ML
ENSG00000129038,ENSG00000129038,0.705738122,0.499480391,5095.393954,7219.95,12151.05,73925989,73952137,No,Not in ML
ENSG00000080573,ENSG00000080573,1.420077499,0.037069321,5089.41575,3583.9,9672.65,9959561,10010504,No,Not in ML
ENSG00000137076,ENSG00000137076,0.152239409,0.985745535,5051.516729,33181.4,35668.35,35696948,35732195,No,Not in ML
ENSG00000177575,ENSG00000177575,1.799489229,0.004730281,5021.564667,2790.55,10711.1,7470811,7503893,UP,Not in ML
ENSG00000109861,ENSG00000109861,1.385515094,0.043737699,5019.028427,3622.5,10156.35,88265069,88359684,No,In ML
ENSG00000159674,ENSG00000159674,0.619839743,0.598483095,5008.677028,8080.6,10853.1,1166932,1208962,No,Not in ML
ENSG00000000971,ENSG00000000971,1.104607789,0.146299989,4988.740156,4516.3,9322.55,196652043,196747504,No,Not in ML
ENSG00000116667,ENSG00000116667,1.278001133,0.071275374,4986.31312,3901.65,9289.25,184387029,184629019,No,Not in ML
ENSG00000198431,ENSG00000198431,1.091441645,0.153711031,4947.232116,4532.75,9244.5,104215779,104350307,No,Not in ML
ENSG00000182220,ENSG00000182220,0.590249399,0.633798951,4942.217241,8373.1,12375.65,40579372,40606848,No,Not in ML
ENSG00000124155,ENSG00000124155,0.55792169,0.672848479,4939.615479,8853.6,12269.5,45416084,45456934,No,Not in ML
ENSG00000211897,ENSG00000211897,1.897174844,0.002587895,4935.215781,2601.35,8551.35,105764503,105771405,UP,Not in ML
ENSG00000184216,ENSG00000184216,0.746273649,0.455222575,4910.667182,6580.25,10573.65,154010506,154019902,No,Not in ML
ENSG00000175203,ENSG00000175203,0.661818631,0.548908209,4910.032424,7419,10741.2,57529633,57547224,No,Not in ML
ENSG00000163902,ENSG00000163902,0.33856055,0.891232987,4884.785468,14428.1,18270.95,128619969,128681075,No,Not in ML
ENSG00000110880,ENSG00000110880,0.45972288,0.779919565,4857.431946,10566,14349.2,108645109,108731526,No,Not in ML
ENSG00000100243,ENSG00000100243,0.276799132,0.93216362,4835.76388,17470.3,19038.75,42617840,42649392,No,Not in ML
ENSG00000163513,ENSG00000163513,0.574008183,0.653484849,4829.10214,8412.95,12239.25,30606601,30694142,No,Not in ML
ENSG00000196735,ENSG00000196735,1.785477045,0.005129414,4821.145116,2700.2,9180.15,32628179,32647062,No,Not in ML
ENSG00000122862,ENSG00000122862,1.526882828,0.021804863,4812.200264,3151.65,8820,69088103,69104805,No,Not in ML
