"","mRNA","logFC","FDR","Delta","Age 18-40","Age >=40","start","end","diff_exp"
"ENSG00000224259","ENSG00000224259",2.94950828767475,9.6119124085038e-07,430.775685414897,146.05,1469.7,159958035,159984750,"UP"
"ENSG00000085265","ENSG00000085265",2.05576738557449,0.000923458208646615,430.580478908576,209.45,957.5,134903232,134917912,"UP"
"ENSG00000016402","ENSG00000016402",1.86403810983874,0.00320017867196584,428.821967168403,230.05,682,136999971,137045180,"UP"
"ENSG00000134917","ENSG00000134917",1.95609665562619,0.00177977519566779,423.788340441413,216.65,889.55,130404923,130428609,"UP"
"ENSG00000170476","ENSG00000170476",3.08393022236852,3.00722553413862e-07,423.423619531197,137.3,1006.95,139387467,139390081,"UP"
"ENSG00000155307","ENSG00000155307",1.81844050604456,0.00426821284695991,406.694219176865,223.65,828.2,14485228,14658821,"UP"
"ENSG00000235649","ENSG00000235649",2.82312841219762,2.77756321358853e-06,381.828117749728,135.25,1292.75,11957208,11987386,"UP"
"ENSG00000057294","ENSG00000057294",2.43846086200678,5.91757012283549e-05,380.887586645459,156.2,694.75,32790755,32896777,"UP"
"ENSG00000027644","ENSG00000027644",2.07794373159172,0.000793139498267663,372.990899820714,179.5,862.65,156840063,156859117,"UP"
"ENSG00000104972","ENSG00000104972",2.08558080605206,0.000757253323273494,370.399151154845,177.6,756.6,54617158,54637528,"UP"
"ENSG00000143839","ENSG00000143839",4.40509442503883,1.03607382124676e-12,368.70640337575,83.7,1170.9,204154819,204190324,"UP"
"ENSG00000082482","ENSG00000082482",1.81925578075012,0.00423466943345725,353.208509832636,194.15,610.6,215005775,215237090,"UP"
"ENSG00000019169","ENSG00000019169",3.16510146972372,1.4745605865737e-07,351.959283433278,111.2,1135.7,118942166,118994660,"UP"
"ENSG00000107611","ENSG00000107611",1.92563237894031,0.00217943147003836,350.36881134819,181.95,666.4,16823966,17129811,"UP"
"ENSG00000134460","ENSG00000134460",1.95154882133088,0.0018443032153502,345.228986493432,176.9,764.65,6010689,6062370,"UP"
"ENSG00000180914","ENSG00000180914",2.59256729840843,1.80189218234245e-05,330.941215641836,127.65,512.2,8750408,8769628,"UP"
"ENSG00000134762","ENSG00000134762",1.85536956223223,0.00340625400015303,323.947525565747,174.6,570.75,30989365,31042815,"UP"
"ENSG00000160883","ENSG00000160883",1.96525650658231,0.00168583145553481,322.891644031473,164.3,687.4,176880869,176899346,"UP"
"ENSG00000004468","ENSG00000004468",2.00128153083188,0.00133097159226908,310.298701355482,155.05,595.2,15778275,15853232,"UP"
"ENSG00000203710","ENSG00000203710",2.30455425352162,0.000162116812661785,307.081854281756,133.25,734.65,207496147,207641765,"UP"
"ENSG00000158639","ENSG00000158639",3.40136895550343,1.76236973477375e-08,305.442932204208,89.8,1015.05,55220346,55224108,"UP"
"ENSG00000283787","ENSG00000283787",1.97452988952605,0.00158832622721176,300.720902174817,152.3,673.55,1888078,1891895,"UP"
"ENSG00000118526","ENSG00000118526",2.31990210517097,0.000144979891458856,300.195332409123,129.4,702.15,133889113,133895553,"UP"
"ENSG00000181374","ENSG00000181374",2.25917735329666,0.000226018803913256,300.131711385461,132.85,637.7,34356480,34358610,"UP"
"ENSG00000164761","ENSG00000164761",1.9866674637452,0.00146077728269343,294.324784753851,148.15,543.45,118923557,118951885,"UP"
"ENSG00000116985","ENSG00000116985",1.9799535146925,0.00153778390137301,287.291254981882,145.1,720.15,39757182,39788865,"UP"
"ENSG00000183671","ENSG00000183671",2.39748307468216,8.17872597114134e-05,280.625393891547,117.05,664.95,206175316,206218047,"UP"
"ENSG00000134028","ENSG00000134028",2.60870900987253,1.59113077577538e-05,273.653575135629,104.9,642.55,24384285,24406013,"UP"
"ENSG00000169248","ENSG00000169248",2.38310272401093,9.06670700693263e-05,269.290607813236,113,601.15,76033682,76041415,"UP"
"ENSG00000156234","ENSG00000156234",1.8624124544253,0.00325187098631945,268.001152191801,143.9,563.5,77511753,77611834,"UP"
"ENSG00000197769","ENSG00000197769",2.01896114996598,0.00118798653769601,258.830819425638,128.2,561.9,241995490,241999098,"UP"
"ENSG00000164691","ENSG00000164691",2.0647840618317,0.000874638741801847,250.251828294003,121.2,495.25,159034468,159045152,"UP"
"ENSG00000129152","ENSG00000129152",3.26619270653319,5.95846587271297e-08,248.720574602503,76.15,706.95,17719571,17722136,"UP"
"ENSG00000115919","ENSG00000115919",1.84517335095831,0.00363679620751674,231.846031547911,125.65,448.8,142877657,143055833,"UP"
"ENSG00000101311","ENSG00000101311",1.92008030185963,0.00228321390859485,230.793652283527,120.2,436.35,6074845,6123030,"UP"
"ENSG00000238269","ENSG00000238269",1.89804608465273,0.00262601460092031,227.196116332932,119.7,450.8,55075030,55078909,"UP"
"ENSG00000135298","ENSG00000135298",1.88489258567144,0.00283165464278386,224.207973065618,118.95,343.1,68635282,69389506,"UP"
"ENSG00000172724","ENSG00000172724",1.87269005946721,0.00307172813688923,218.917467951717,116.9,513,34689570,34691276,"UP"
"ENSG00000147573","ENSG00000147573",1.98895039548289,0.0014507773771799,216.994488147184,109.1,448.9,66126896,66175485,"UP"
"ENSG00000249715","ENSG00000249715",2.18215273677643,0.000388807804701475,214.942044572478,98.5,400.55,96642737,96704887,"UP"
"ENSG00000073282","ENSG00000073282",1.97410825661279,0.0015877120958595,214.190745842488,108.5,400.6,189631389,189897276,"UP"
"ENSG00000170439","ENSG00000170439",1.86272686089938,0.00327129314295965,212.9096802008,114.3,435.35,55681678,55684611,"UP"
"ENSG00000105989","ENSG00000105989",3.10049565750864,2.68960000117319e-07,206.648035572951,66.65,686.1,117275451,117323152,"UP"
"ENSG00000128510","ENSG00000128510",2.52945086798512,3.01674761281512e-05,200.079563657623,79.1,358.3,130293134,130324180,"UP"
"ENSG00000158714","ENSG00000158714",1.92043355949314,0.00227091631725684,196.748418170072,102.45,390.95,159826811,159837492,"UP"
"ENSG00000248144","ENSG00000248144",2.64329125368899,1.21286044511981e-05,194.810565396878,73.7,411.5,99336497,99352746,"UP"
"ENSG00000225383","ENSG00000225383",2.25216172528274,0.000241904160334554,192.334611339146,85.4,336.65,10784437,10795047,"UP"
"ENSG00000172215","ENSG00000172215",1.90727031134674,0.0024830344447001,185.86349184074,97.45,350.3,45940933,45948351,"UP"
"ENSG00000117215","ENSG00000117215",2.1746992203647,0.000411436498647728,180.826240173325,83.15,388.45,20111939,20119566,"UP"
"ENSG00000249464","ENSG00000249464",3.76636311533706,5.68521153488032e-10,177.584020888142,47.15,487.95,123539026,123962698,"UP"
"ENSG00000237988","ENSG00000237988",2.08781171673847,0.00074989303049521,175.063012448521,83.85,350.35,29550407,29557721,"UP"
"ENSG00000096996","ENSG00000096996",1.82067896614719,0.00427848771528774,172.236230197525,94.6,352.05,18058995,18098944,"UP"
"ENSG00000162739","ENSG00000162739",1.80810868098019,0.00458100654002659,169.871810578088,93.95,319.05,160485030,160523262,"UP"
"ENSG00000101916","ENSG00000101916",2.09197589483197,0.000738832276168165,156.584395728173,74.85,339.2,12906620,12923169,"UP"
"ENSG00000121871","ENSG00000121871",3.77849297520794,5.98263782275156e-10,152.651116198401,40.4,473.65,165186720,165197109,"UP"
"ENSG00000287550","ENSG00000287550",2.844482832737,2.35367842833826e-06,152.037607409793,53.45,378.1,164791288,164827683,"UP"
"ENSG00000183153","ENSG00000183153",2.04519498659029,0.00100035941397887,151.446688757011,74.05,315.75,40360652,40364737,"UP"
"ENSG00000064787","ENSG00000064787",2.77555465853055,4.09633589657826e-06,148.492174231384,53.5,336.8,53936777,54070594,"UP"
"ENSG00000046774","ENSG00000046774",2.14550944072289,0.000509620727468165,147.289223105627,68.65,318.3,142202342,142205290,"UP"
"ENSG00000100884","ENSG00000100884",3.84218472180941,3.08551888632421e-10,146.579347137029,38.15,468.25,24070837,24078100,"UP"
"ENSG00000137441","ENSG00000137441",2.46196691289708,5.01137208364553e-05,146.240834626087,59.4,277.55,15960245,15969309,"UP"
"ENSG00000166035","ENSG00000166035",1.89998907346547,0.00261437102134146,144.019171768682,75.8,312.15,58410569,58569844,"UP"
"ENSG00000120949","ENSG00000120949",1.94675628209879,0.00194184492176103,143.670613618891,73.8,312.95,12063303,12144207,"UP"
"ENSG00000229754","ENSG00000229754",3.08631883035425,3.03464444610405e-07,140.581822722636,45.55,426.45,218059155,218065729,"UP"
"ENSG00000198535","ENSG00000198535",3.55999350141404,4.39212407241607e-09,139.729744930501,39.25,410.05,62066977,62070917,"UP"
"ENSG00000105369","ENSG00000105369",2.56757262267315,2.27913106069409e-05,138.905678886617,54.1,277.7,41877279,41881372,"UP"
"ENSG00000163735","ENSG00000163735",3.93336774121159,1.29764885626947e-10,137.667870942406,35,461.3,73995642,73998677,"UP"
"ENSG00000110777","ENSG00000110777",2.23229836608272,0.000279231439227069,137.509579350696,61.6,269.75,111352255,111455630,"UP"
"ENSG00000253123","ENSG00000253123",2.7918371779012,3.68621574220335e-06,136.939613576054,49.05,326.75,37326575,37331991,"UP"
"ENSG00000112299","ENSG00000112299",2.97491412010819,8.04659438646807e-07,135.953575288944,45.7,398.35,132680849,132714055,"UP"
"ENSG00000099960","ENSG00000099960",2.30831328367294,0.000160475996049418,134.459248773949,58.25,237.3,21028718,21032840,"UP"
"ENSG00000136267","ENSG00000136267",1.97235959553598,0.00163335169333789,134.120452496447,68,234.95,14145049,14974777,"UP"
"ENSG00000170374","ENSG00000170374",2.82916166995823,2.74984591233369e-06,130.282894901576,46.05,238,53326575,53345315,"UP"
"ENSG00000211941","ENSG00000211941",2.00923602037176,0.00128612706251521,129.696185114997,64.55,251.7,106116635,106117204,"UP"
"ENSG00000111049","ENSG00000111049",3.89519102151256,1.87348804425091e-10,128.541303709914,33,526.8,80716912,80719671,"UP"
"ENSG00000089012","ENSG00000089012",2.21470600032732,0.000315053392609843,126.45971261869,57.1,267.5,1629152,1657779,"UP"
"ENSG00000105251","ENSG00000105251",3.05872161282725,3.96874030812182e-07,126.172266529124,41.25,326.25,4279266,4290722,"UP"
"ENSG00000115602","ENSG00000115602",1.82339432402844,0.00422047161266094,125.449529493157,68.8,236.25,102311502,102352037,"UP"
"ENSG00000267013","ENSG00000267013",1.87753726890333,0.00301700342400152,124.2929672014,66.2,275.8,55105904,55124306,"UP"
"ENSG00000069482","ENSG00000069482",2.66393633088603,1.07186393274088e-05,122.00828395458,45.8,255.5,68683779,68691175,"UP"
"ENSG00000223485","ENSG00000223485",2.24021876730592,0.000266088892030388,121.867900941442,54.4,279.45,169157162,169162992,"UP"
"ENSG00000106952","ENSG00000106952",1.82830009102255,0.00411524523364671,118.291015889159,64.7,237.5,114893343,114930595,"UP"
"ENSG00000166523","ENSG00000166523",1.80227840809172,0.00478101047150139,118.229463570817,65.6,243.25,8533305,8540905,"UP"
"ENSG00000146276","ENSG00000146276",2.84154532074476,2.53201343451457e-06,117.639976278833,41.4,322.5,89177504,89231278,"UP"
"ENSG00000259134","ENSG00000259134",2.5063488648328,3.72309724825416e-05,116.795857101208,46.6,238.1,95326528,95507865,"UP"
"ENSG00000229644","ENSG00000229644",1.80246701297348,0.0047335287297091,114.456655323816,63.5,201,36521721,36524234,"UP"
"ENSG00000126353","ENSG00000126353",1.80698313247254,0.00467414567513076,111.310160960308,61.6,231.05,40553769,40565472,"UP"
"ENSG00000022556","ENSG00000022556",2.42425884359873,6.94152596953602e-05,110.182564441562,45.45,187.8,54953130,55001142,"UP"
"ENSG00000083782","ENSG00000083782",2.41661627797573,7.2635222292439e-05,109.472717392301,45.3,215.55,90963682,91005026,"UP"
"ENSG00000258590","ENSG00000258590",2.94690957502461,1.05887913555115e-06,105.646708264632,35.85,195.65,20657638,20688408,"UP"
"ENSG00000189410","ENSG00000189410",2.12999653162338,0.000573602589323367,104.476329876127,49.05,141.3,20719731,20732837,"UP"
"ENSG00000276399","ENSG00000276399",2.4398472853354,6.17756196993618e-05,103.937494355288,42.6,262.4,22406019,22413744,"UP"
"ENSG00000240204","ENSG00000240204",2.07177974796793,0.000859555367634035,102.760275499209,49.6,207.8,129502531,129512918,"UP"
"ENSG00000196684","ENSG00000196684",2.04023048615697,0.0010586199643108,102.215547356464,50.1,198.55,16134028,16158575,"UP"
"ENSG00000125851","ENSG00000125851",2.39675630815452,8.46890899870467e-05,99.9447380500437,41.7,218.05,17226107,17484578,"UP"
"ENSG00000211967","ENSG00000211967",2.85089448855209,2.40420027331123e-06,99.781307099323,35,207.25,106592676,106593347,"UP"
"ENSG00000130477","ENSG00000130477",2.35732468082766,0.000116024494609587,99.4791015309273,42.2,164.95,17601328,17688365,"UP"
"ENSG00000080644","ENSG00000080644",2.18317625872882,0.000404853663041351,97.9154552039876,44.85,173.6,78593052,78621295,"UP"
"ENSG00000112303","ENSG00000112303",2.08185065469421,0.000810994916350358,97.4306106396892,46.8,214.25,132743870,132763459,"UP"
"ENSG00000166396","ENSG00000166396",3.85488652310225,2.879386665117e-10,91.1680662713682,23.65,334.45,63752935,63805376,"UP"
"ENSG00000234068","ENSG00000234068",5.21702948373648,3.09183736438673e-16,90.5154615428279,17.35,734,55089018,55092842,"UP"
"ENSG00000196468","ENSG00000196468",2.45503450077235,5.65494229508002e-05,87.89023512765,35.8,206.55,77447389,77457278,"UP"
"ENSG00000155495","ENSG00000155495",3.9634767094416,1.03436181836004e-10,86.0074445948827,21.7,335.5,141903894,141909374,"UP"
"ENSG00000275713","ENSG00000275713",1.81416627746381,0.00453248462627441,85.3565233546723,47.05,174.35,26251651,26253710,"UP"
"ENSG00000135925","ENSG00000135925",2.36196267190331,0.000111581575774583,85.1487543221142,36.05,146.75,218880852,218899581,"UP"
"ENSG00000270816","ENSG00000270816",2.31461940536359,0.000162144094698786,84.8308012065756,36.65,231,106482435,106521073,"UP"
"ENSG00000040731","ENSG00000040731",2.1499263602292,0.000522160090774023,82.8796611868357,38.55,168.8,24487100,24644978,"UP"
"ENSG00000243137","ENSG00000243137",3.81609559481297,3.9808424723042e-10,79.5655931518503,20.85,148.9,43192702,43207299,"UP"
"ENSG00000136634","ENSG00000136634",3.18008110555384,1.51805558360638e-07,78.7070073624576,24.75,219.95,206767602,206774541,"UP"
"ENSG00000174837","ENSG00000174837",2.54204457553484,2.94574420452355e-05,78.294972926473,30.8,162.75,6887566,6940459,"UP"
"ENSG00000224609","ENSG00000224609",1.86258381449485,0.00343324140098496,77.017840729362,41.35,132.05,59131932,59296491,"UP"
"ENSG00000174946","ENSG00000174946",2.1350091959173,0.00057610167714781,76.9670815128186,36.05,157.65,151197832,151203216,"UP"
"ENSG00000188820","ENSG00000188820",2.57510862418975,2.33969284131993e-05,75.7081935511786,29.4,190.65,116461370,116463771,"UP"
"ENSG00000139572","ENSG00000139572",1.9351324659694,0.00216663447589503,73.8253035767325,38.15,136.7,54362445,54364487,"UP"
"ENSG00000248485","ENSG00000248485",2.44344256664595,6.21524899386994e-05,71.8372114593908,29.4,130.7,161258745,161285450,"UP"
"ENSG00000188729","ENSG00000188729",5.33641991420887,8.10914526517226e-17,70.7075638632675,13.25,442.2,191199241,191265615,"UP"
"ENSG00000165409","ENSG00000165409",2.16410423547935,0.000466852483808202,67.7364625705035,31.3,110.5,80954989,81146306,"UP"
"ENSG00000231606","ENSG00000231606",1.93828898580125,0.00218374043104904,65.9987399665326,34.05,128.45,14221887,14304445,"UP"
"ENSG00000227827","ENSG00000227827",2.01583390774045,0.00128602109304994,64.5066850476944,32,139.85,16356224,16377507,"UP"
"ENSG00000267719","ENSG00000267719",2.26594546159855,0.000231978375023475,63.3331756516794,27.95,98.85,79707266,79712317,"UP"
"ENSG00000198734","ENSG00000198734",2.58719376121575,2.13008700675395e-05,62.9981680856034,24.35,135.55,169511951,169586588,"UP"
"ENSG00000073737","ENSG00000073737",2.05939966558323,0.00098242553377431,61.5760500009385,29.9,129.3,169064789,169096167,"UP"
"ENSG00000143297","ENSG00000143297",2.04368268539724,0.00107874964136617,60.4930074877582,29.6,112.3,157513377,157552515,"UP"
"ENSG00000145451","ENSG00000145451",2.78323064057185,4.14872223880664e-06,60.1177818363521,21.6,124.7,174636920,174829247,"UP"
"ENSG00000226985","ENSG00000226985",2.10108599550111,0.000778253001799168,59.0405164735813,28.1,135.2,13333952,13403035,"UP"
"ENSG00000277270","ENSG00000277270",1.89083216968145,0.00309216323466754,58.8994220855771,31.15,156.3,61432868,61437630,"UP"
"ENSG00000158488","ENSG00000158488",2.01802964344227,0.0012811207133414,58.6237611419981,29.05,115.45,158353696,158357553,"UP"
"ENSG00000160856","ENSG00000160856",1.88724777679597,0.00296122623310056,58.4103186918354,30.95,115.25,157674321,157700769,"UP"
"ENSG00000139269","ENSG00000139269",2.95196891660304,1.07660400441258e-06,58.0061892112497,19.65,146.55,57452323,57459280,"UP"
"ENSG00000147689","ENSG00000147689",3.21197358200301,1.09917377494881e-07,57.8155244760542,18,111.7,123178960,123210079,"UP"
"ENSG00000275016","ENSG00000275016",2.90196868890597,1.66473708034439e-06,56.5883894336665,19.5,140.7,95638316,95826499,"UP"
"ENSG00000144644","ENSG00000144644",2.16301967458355,0.000475812383437996,56.3466625229016,26.05,93.9,30726200,30894765,"UP"
"ENSG00000147206","ENSG00000147206",2.47151321561133,5.41217084610877e-05,55.2383203689133,22.35,129,103075810,103093143,"UP"
"ENSG00000163600","ENSG00000163600",1.92679400395403,0.00235033369921444,54.1429115111084,28.1,109.45,203936763,203961577,"UP"
"ENSG00000100122","ENSG00000100122",1.86812149804232,0.00343876366731068,53.5216809189125,28.65,135.85,26599278,26618027,"UP"
"ENSG00000265485","ENSG00000265485",2.24912959901478,0.000272766533401938,53.3043714966503,23.7,110.55,24534551,24708542,"UP"
"ENSG00000104974","ENSG00000104974",1.91145499022489,0.00261650451263885,52.373866732162,27.4,100.1,54593582,54602381,"UP"
"ENSG00000167914","ENSG00000167914",2.37568228646852,0.000111026598649138,51.4335215020434,21.65,118.45,39953263,39977768,"UP"
"ENSG00000231924","ENSG00000231924",1.95012619709067,0.00198099259406048,50.7032811243573,26,61.65,42866464,42879822,"UP"
"ENSG00000205054","ENSG00000205054",2.46122557364047,5.77264129466197e-05,50.4551242596297,20.5,100.75,45164816,45323397,"UP"
"ENSG00000148942","ENSG00000148942",1.9513419633183,0.00197238457203822,50.1494884572803,25.7,93.8,26667020,26723427,"UP"
"ENSG00000255967","ENSG00000255967",2.52043847745232,3.83437337663285e-05,48.7704845387023,19.35,130.95,8634367,8637608,"UP"
"ENSG00000170044","ENSG00000170044",3.22079239661899,1.26892373162694e-07,47.8287670897921,14.85,141.55,102099244,102479841,"UP"
"ENSG00000246662","ENSG00000246662",2.56298828828613,2.68751231995689e-05,47.5434327477077,18.55,93.2,93213302,93700433,"UP"
"ENSG00000188282","ENSG00000188282",2.24639997041748,0.000291730512868736,47.286719377288,21.05,110.55,218034960,218090581,"UP"
"ENSG00000178772","ENSG00000178772",1.91941507179043,0.00248943036977236,46.6417862445075,24.3,111.7,194339768,194351328,"UP"
